"Dyad_ID","partnum","X_A","gender_A","self_object_appearance_A","self_object_ability_A","other_object_appearance_A","other_object_ability_A","self_object.tavg_A","other_object.tavg_A","relation_qual.avg_A","X_P","gender_P","self_object_appearance_P","self_object_ability_P","other_object_appearance_P","other_object_ability_P","self_object.tavg_P","other_object.tavg_P","relation_qual.avg_P"
"377033",1,1,0,3.6,7.4,3.4,7.6,3.8,4.2,,2,1,7.4,3.6,5.4,5.6,-3.8,0.199999999999999,
"377033",2,2,1,7.4,3.6,5.4,5.6,-3.8,0.199999999999999,,1,0,3.6,7.4,3.4,7.6,3.8,4.2,
"737834",1,3,0,7.2,3.8,7.8,3.2,-3.4,-4.6,6,4,1,6.8,4.2,6,5,-2.6,-1,7.5
"737834",2,4,1,6.8,4.2,6,5,-2.6,-1,7.5,3,0,7.2,3.8,7.8,3.2,-3.4,-4.6,6
"919757",1,5,0,3.8,7.2,6.2,4.8,3.4,-1.4,8.4,6,1,4.4,6.6,4,7,2.2,3,8.8
"919757",2,6,1,4.4,6.6,4,7,2.2,3,8.8,5,0,3.8,7.2,6.2,4.8,3.4,-1.4,8.4
"938324",1,7,0,4.8,6.2,6,5,1.4,-1,8.5,8,1,7.4,3.6,5,6,-3.8,1,8.5
"938324",2,8,1,7.4,3.6,5,6,-3.8,1,8.5,7,0,4.8,6.2,6,5,1.4,-1,8.5
"1063439",1,9,0,8,3,7.2,3.8,-5,-3.4,,10,1,6.4,4.6,6.6,4.4,-1.8,-2.2,
"1063439",2,10,1,6.4,4.6,6.6,4.4,-1.8,-2.2,,9,0,8,3,7.2,3.8,-5,-3.4,
"1151456",1,11,0,5.6,5.4,7.4,3.6,-0.199999999999999,-3.8,8.7,12,1,7,4,5.2,5.8,-3,0.6,8.8
"1151456",2,12,1,7,4,5.2,5.8,-3,0.6,8.8,11,0,5.6,5.4,7.4,3.6,-0.199999999999999,-3.8,8.7
"1213424",1,13,1,7.4,3.6,6.6,4.4,-3.8,-2.2,7.1,14,0,5,6,6,5,1,-1,5.8
"1213424",2,14,0,5,6,6,5,1,-1,5.8,13,1,7.4,3.6,6.6,4.4,-3.8,-2.2,7.1
"1215551",1,15,0,6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,4.5,16,1,6.6,4.4,7.4,3.6,-2.2,-3.8,
"1215551",2,16,1,6.6,4.4,7.4,3.6,-2.2,-3.8,,15,0,6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,4.5
"1534532",1,17,0,6.8,4.2,5.4,5.6,-2.6,0.199999999999999,4.8,18,1,5.6,5.4,3.8,7.2,-0.199999999999999,3.4,6.2
"1534532",2,18,1,5.6,5.4,3.8,7.2,-0.199999999999999,3.4,6.2,17,0,6.8,4.2,5.4,5.6,-2.6,0.199999999999999,4.8
"1796138",1,19,1,6.8,4.2,6.4,4.6,-2.6,-1.8,5.4,20,0,4.2,6.8,4.6,6.4,2.6,1.8,4.8
"1796138",2,20,0,4.2,6.8,4.6,6.4,2.6,1.8,4.8,19,1,6.8,4.2,6.4,4.6,-2.6,-1.8,5.4
"1836239",1,21,1,7.8,3.2,5.2,5.8,-4.6,0.6,7.1,22,0,5,6,5.8,5.2,1,-0.6,8.5
"1836239",2,22,0,5,6,5.8,5.2,1,-0.6,8.5,21,1,7.8,3.2,5.2,5.8,-4.6,0.6,7.1
"2048975",1,23,1,5.8,5.2,4.8,6.2,-0.6,1.4,7.2,24,0,5.6,5.4,7,4,-0.199999999999999,-3,7
"2048975",2,24,0,5.6,5.4,7,4,-0.199999999999999,-3,7,23,1,5.8,5.2,4.8,6.2,-0.6,1.4,7.2
"2192258",1,25,0,5.6,5.4,7.6,3.4,-0.199999999999999,-4.2,5.7,26,1,7.8,3.2,6.6,4.4,-4.6,-2.2,6.2
"2192258",2,26,1,7.8,3.2,6.6,4.4,-4.6,-2.2,6.2,25,0,5.6,5.4,7.6,3.4,-0.199999999999999,-4.2,5.7
"2262764",1,27,0,6.4,4.6,6.6,4.4,-1.8,-2.2,8.4,28,1,7.6,3.4,5.4,5.6,-4.2,0.199999999999999,8.7
"2262764",2,28,1,7.6,3.4,5.4,5.6,-4.2,0.199999999999999,8.7,27,0,6.4,4.6,6.6,4.4,-1.8,-2.2,8.4
"4052115",1,29,0,6.6,4.4,6,5,-2.2,-1,8.4,30,1,6.6,4.4,4.2,6.8,-2.2,2.6,8.4
"4052115",2,30,1,6.6,4.4,4.2,6.8,-2.2,2.6,8.4,29,0,6.6,4.4,6,5,-2.2,-1,8.4
"4292443",1,31,0,5,6,5.6,5.4,1,-0.199999999999999,7,32,1,5.8,5.2,6.2,4.8,-0.6,-1.4,6.3
"4292443",2,32,1,5.8,5.2,6.2,4.8,-0.6,-1.4,6.3,31,0,5,6,5.6,5.4,1,-0.199999999999999,7
"4593178",1,33,0,5.2,5.8,5.8,5.2,0.6,-0.6,8,34,1,6,5,4.6,6.4,-1,1.8,7.9
"4593178",2,34,1,6,5,4.6,6.4,-1,1.8,7.9,33,0,5.2,5.8,5.8,5.2,0.6,-0.6,8
"5339697",1,35,1,5.2,5.8,6,5,0.6,-1,8,36,0,6.4,4.6,7.6,3.4,-1.8,-4.2,8.7
"5339697",2,36,0,6.4,4.6,7.6,3.4,-1.8,-4.2,8.7,35,1,5.2,5.8,6,5,0.6,-1,8
"6359824",1,37,0,7.2,3.8,6.6,4.4,-3.4,-2.2,6.8,38,1,6.8,4.2,5.8,5.2,-2.6,-0.6,8.4
"6359824",2,38,1,6.8,4.2,5.8,5.2,-2.6,-0.6,8.4,37,0,7.2,3.8,6.6,4.4,-3.4,-2.2,6.8
"6894072",1,39,0,6.4,4.6,5.2,5.8,-1.8,0.6,8.3,40,1,4.6,6.4,5.4,5.6,1.8,0.199999999999999,4.7
"6894072",2,40,1,4.6,6.4,5.4,5.6,1.8,0.199999999999999,4.7,39,0,6.4,4.6,5.2,5.8,-1.8,0.6,8.3
"7403083",1,41,0,5.6,5.4,5,6,-0.199999999999999,1,4.5,42,1,4.4,6.6,6,5,2.2,-1,5
"7403083",2,42,1,4.4,6.6,6,5,2.2,-1,5,41,0,5.6,5.4,5,6,-0.199999999999999,1,4.5
