Dyad_ID,partnum,gender_A,gender_AF,self_object_A,other_object_A,relation_sat_A,self_object_P,other_object_P,relation_sat_P
377033,1,-1,woman,3.8,4.2,NA,-3.8,0.199999999999999,NA
377033,2,1,man,-3.8,0.199999999999999,NA,3.8,4.2,NA
737834,1,-1,woman,-3.4,-4.6,6,-2.6,-1,7.5
737834,2,1,man,-2.6,-1,7.5,-3.4,-4.6,6
919757,1,-1,woman,3.4,-1.4,8.4,2.2,3,8.8
919757,2,1,man,2.2,3,8.8,3.4,-1.4,8.4
938324,1,-1,woman,1.4,-1,8.5,-3.8,1,8.5
938324,2,1,man,-3.8,1,8.5,1.4,-1,8.5
1063439,1,-1,woman,-5,-3.4,NA,-1.8,-2.2,NA
1063439,2,1,man,-1.8,-2.2,NA,-5,-3.4,NA
1151456,1,-1,woman,-0.199999999999999,-3.8,8.7,-3,0.6,8.8
1151456,2,1,man,-3,0.6,8.8,-0.199999999999999,-3.8,8.7
1213424,1,1,man,-3.8,-2.2,7.1,1,-1,5.8
1213424,2,-1,woman,1,-1,5.8,-3.8,-2.2,7.1
1215551,1,-1,woman,-1.8,-0.199999999999999,4.5,-2.2,-3.8,NA
1215551,2,1,man,-2.2,-3.8,NA,-1.8,-0.199999999999999,4.5
1534532,1,-1,woman,-2.6,0.199999999999999,4.8,-0.199999999999999,3.4,6.2
1534532,2,1,man,-0.199999999999999,3.4,6.2,-2.6,0.199999999999999,4.8
1796138,1,1,man,-2.6,-1.8,5.4,2.6,1.8,4.8
1796138,2,-1,woman,2.6,1.8,4.8,-2.6,-1.8,5.4
1836239,1,1,man,-4.6,0.6,7.1,1,-0.6,8.5
1836239,2,-1,woman,1,-0.6,8.5,-4.6,0.6,7.1
2048975,1,1,man,-0.6,1.4,7.2,-0.199999999999999,-3,7
2048975,2,-1,woman,-0.199999999999999,-3,7,-0.6,1.4,7.2
2192258,1,-1,woman,-0.199999999999999,-4.2,5.7,-4.6,-2.2,6.2
2192258,2,1,man,-4.6,-2.2,6.2,-0.199999999999999,-4.2,5.7
2262764,1,-1,woman,-1.8,-2.2,8.4,-4.2,0.199999999999999,8.7
2262764,2,1,man,-4.2,0.199999999999999,8.7,-1.8,-2.2,8.4
4052115,1,-1,woman,-2.2,-1,8.4,-2.2,2.6,8.4
4052115,2,1,man,-2.2,2.6,8.4,-2.2,-1,8.4
4292443,1,-1,woman,1,-0.199999999999999,7,-0.6,-1.4,6.3
4292443,2,1,man,-0.6,-1.4,6.3,1,-0.199999999999999,7
4593178,1,-1,woman,0.6,-0.6,8,-1,1.8,7.9
4593178,2,1,man,-1,1.8,7.9,0.6,-0.6,8
5339697,1,1,man,0.6,-1,8,-1.8,-4.2,8.7
5339697,2,-1,woman,-1.8,-4.2,8.7,0.6,-1,8
6359824,1,-1,woman,-3.4,-2.2,6.8,-2.6,-0.6,8.4
6359824,2,1,man,-2.6,-0.6,8.4,-3.4,-2.2,6.8
6894072,1,-1,woman,-1.8,0.6,8.3,1.8,0.199999999999999,4.7
6894072,2,1,man,1.8,0.199999999999999,4.7,-1.8,0.6,8.3
7403083,1,-1,woman,-0.199999999999999,1,4.5,2.2,-1,5
7403083,2,1,man,2.2,-1,5,-0.199999999999999,1,4.5
10211595,1,-1,woman,-2.6,-0.6,5.1,-0.6,-2.6,6.5
10211595,2,1,man,-0.6,-2.6,6.5,-2.6,-0.6,5.1
14872733,1,-1,woman,-3.8,-5,7.6,-3.4,3,7.2
14872733,2,1,man,-3.4,3,7.2,-3.8,-5,7.6
15149174,1,1,man,-1.4,-1.4,7.3,-1,-1.4,7.3
15149174,2,-1,woman,-1,-1.4,7.3,-1.4,-1.4,7.3
15892965,1,-1,woman,-1.4,3.4,7.8,NA,NA,6
15892965,2,1,man,NA,NA,6,-1.4,3.4,7.8
16244806,1,-1,woman,-3,1.4,9,2.2,1.8,8.7
16244806,2,1,man,2.2,1.8,8.7,-3,1.4,9
16699128,1,1,man,5,1.8,4.9,NA,NA,7.3
16699128,2,-1,woman,NA,NA,7.3,5,1.8,4.9
16711674,1,1,man,3,0.6,6.4,2.2,2.6,4.3
16711674,2,-1,woman,2.2,2.6,4.3,3,0.6,6.4
17701991,1,-1,woman,3.8,1.4,7.6,1.4,-0.6,6.7
17701991,2,1,man,1.4,-0.6,6.7,3.8,1.4,7.6
17986423,1,-1,woman,-5,-5,8.7,-5,-4.6,8.7
17986423,2,1,man,-5,-4.6,8.7,-5,-5,8.7
18097117,1,1,man,-1.8,1,7,-3.4,-1.8,6.6
18097117,2,-1,woman,-3.4,-1.8,6.6,-1.8,1,7
18284987,1,-1,woman,-0.199999999999999,-1.4,8.6,-0.6,0.199999999999999,9
18284987,2,1,man,-0.6,0.199999999999999,9,-0.199999999999999,-1.4,8.6
18324617,1,-1,woman,-2.2,-0.199999999999999,8.7,2.6,1,9
18324617,2,1,man,2.6,1,9,-2.2,-0.199999999999999,8.7
18756718,1,1,man,-3.8,1.4,8.2,-1,1,8.5
18756718,2,-1,woman,-1,1,8.5,-3.8,1.4,8.2
18785388,1,-1,woman,-2.2,1,8.5,-0.199999999999999,-1.4,8.8
18785388,2,1,man,-0.199999999999999,-1.4,8.8,-2.2,1,8.5
19323251,1,1,man,0.199999999999999,1,8.3,1.8,-0.6,8.9
19323251,2,-1,woman,1.8,-0.6,8.9,0.199999999999999,1,8.3
19733641,1,1,man,-3.4,-1.4,9,-1.8,-1.8,9
19733641,2,-1,woman,-1.8,-1.8,9,-3.4,-1.4,9
22536798,1,1,man,-2.6,-2.6,5.1,-3,2.2,5.2
22536798,2,-1,woman,-3,2.2,5.2,-2.6,-2.6,5.1
23712310,1,-1,woman,-3,-1,4.8,-0.199999999999999,0.199999999999999,5
23712310,2,1,man,-0.199999999999999,0.199999999999999,5,-3,-1,4.8
23782765,1,-1,woman,-0.199999999999999,-2.2,8.4,-3.8,-1.4,8.5
23782765,2,1,man,-3.8,-1.4,8.5,-0.199999999999999,-2.2,8.4
23799711,1,-1,woman,3.8,2.6,8,3,3.4,7.7
23799711,2,1,man,3,3.4,7.7,3.8,2.6,8
27005905,1,1,man,-2.2,1,8.9,-4.2,-1.4,8.4
27005905,2,-1,woman,-4.2,-1.4,8.4,-2.2,1,8.9
27311279,1,1,man,0.199999999999999,-2.2,NA,-2.6,-4.2,9
27311279,2,-1,woman,-2.6,-4.2,9,0.199999999999999,-2.2,NA
27511978,1,-1,woman,0.199999999999999,1,8.9,-0.199999999999999,0.199999999999999,9
27511978,2,1,man,-0.199999999999999,0.199999999999999,9,0.199999999999999,1,8.9
28021760,1,-1,woman,1.4,-0.199999999999999,7.6,-1.4,2.2,8.1
28021760,2,1,man,-1.4,2.2,8.1,1.4,-0.199999999999999,7.6
28947773,1,1,man,-0.199999999999999,2.2,8,1,0.199999999999999,8.4
28947773,2,-1,woman,1,0.199999999999999,8.4,-0.199999999999999,2.2,8
28992200,1,1,man,-1.4,2.2,6.2,1,-4.6,5.4
28992200,2,-1,woman,1,-4.6,5.4,-1.4,2.2,6.2
28992252,1,1,man,-1.8,-1.4,7.3,-1,-5,NA
28992252,2,-1,woman,-1,-5,NA,-1.8,-1.4,7.3
28993415,1,-1,woman,-1.8,-0.6,8.5,NA,NA,7.1
28993415,2,1,man,NA,NA,7.1,-1.8,-0.6,8.5
29008274,1,-1,woman,-0.6,1.4,5.4,-4.2,2.2,NA
29008274,2,1,man,-4.2,2.2,NA,-0.6,1.4,5.4
29008631,1,1,man,-3,0.199999999999999,8.5,1,-0.199999999999999,8.5
29008631,2,-1,woman,1,-0.199999999999999,8.5,-3,0.199999999999999,8.5
29014377,1,-1,woman,1.8,-3.4,7.5,-1,0.6,8.4
29014377,2,1,man,-1,0.6,8.4,1.8,-3.4,7.5
29027911,1,1,man,-0.6,-1.4,9,-1.4,-2.2,8.8
29027911,2,-1,woman,-1.4,-2.2,8.8,-0.6,-1.4,9
